"","Question","Min","Max","Mean","SD","Count","Story"
"115","How Clever is this story?","4","26","15","11","2","A17"
"116","How Imaginative is this story?","3","57","30","27","2","A17"
"117","How Captivating is this story?","0","38","19","19","2","A17"
"118","How Humorous is this story?","0","16","8","8","2","A17"
"119","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","27","14","13","2","A17"
"120","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","34","17.5","16.5","2","A17"
"121","How Creative is this story?","0","0","0","0","2","A18"
"122","How Original is this story?","0","0","0","0","2","A18"
"123","How Clever is this story?","0","0","0","0","2","A18"
"124","How Imaginative is this story?","0","1","0.5","0.5","2","A18"
"125","How Captivating is this story?","0","0","0","0","2","A18"
"126","How Humorous is this story?","0","0","0","0","2","A18"
"127","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","9","4.5","4.5","2","A18"
"128","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","9","4.5","4.5","2","A18"
"129","How Creative is this story?","0","1","0.5","0.5","2","A19"
"130","How Original is this story?","0","1","0.5","0.5","2","A19"
"131","How Clever is this story?","0","1","0.5","0.5","2","A19"
"132","How Imaginative is this story?","0","1","0.5","0.5","2","A19"
"133","How Captivating is this story?","0","1","0.5","0.5","2","A19"
"134","How Humorous is this story?","0","1","0.5","0.5","2","A19"
"135","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","1","0.5","0.5","2","A19"
"136","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","1","0.5","0.5","2","A19"
"137","How Creative is this story?","21","24","22.5","1.5","2","A20"
"138","How Original is this story?","7","9","8","1","2","A20"
"139","How Clever is this story?","10","14","12","2","2","A20"
"140","How Imaginative is this story?","11","63","37","26","2","A20"
"141","How Captivating is this story?","12","22","17","5","2","A20"
"142","How Humorous is this story?","14","20","17","3","2","A20"
"143","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","8","29","18.5","10.5","2","A20"
"144","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","10","27","18.5","8.5","2","A20"
"145","How Creative is this story?","3","5","4","1","2","A21"
"146","How Original is this story?","5","6","5.5","0.5","2","A21"
"147","How Clever is this story?","1","1","1","0","2","A21"
"148","How Imaginative is this story?","1","5","3","2","2","A21"
"149","How Captivating is this story?","2","3","2.5","0.5","2","A21"
"150","How Humorous is this story?","0","5","2.5","2.5","2","A21"
"151","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","16","32","24","8","2","A21"
"152","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","12","16","14","2","2","A21"
"153","How Creative is this story?","71","95","83","12","2","A22"
"154","How Original is this story?","72","85","78.5","6.5","2","A22"
"155","How Clever is this story?","72","82","77","5","2","A22"
"156","How Imaginative is this story?","83","89","86","3","2","A22"
"157","How Captivating is this story?","74","86","80","6","2","A22"
"158","How Humorous is this story?","51","64","57.5","6.5","2","A22"
"159","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","72","82","77","5","2","A22"
"160","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","53","71","62","9","2","A22"
"161","How Creative is this story?","14","14","14","0","1","A23"
"162","How Original is this story?","20","20","20","0","1","A23"
"163","How Clever is this story?","23","23","23","0","1","A23"
"164","How Imaginative is this story?","20","20","20","0","1","A23"
"165","How Captivating is this story?","10","10","10","0","1","A23"
"166","How Humorous is this story?","13","13","13","0","1","A23"
"167","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","26","26","26","0","1","A23"
"168","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","28","28","28","0","1","A23"
"169","How Creative is this story?","0","1","0.5","0.5","2","A24"
"170","How Original is this story?","0","41","20.5","20.5","2","A24"
"171","How Clever is this story?","0","1","0.5","0.5","2","A24"
"172","How Imaginative is this story?","0","40","20","20","2","A24"
"173","How Captivating is this story?","0","1","0.5","0.5","2","A24"
"174","How Humorous is this story?","0","1","0.5","0.5","2","A24"
"175","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","16","8","8","2","A24"
"176","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","1","0.5","0.5","2","A24"
"177","How Creative is this story?","1","2","1.33","0.47","3","A25"
"178","How Original is this story?","1","22","8.33","9.67","3","A25"
"179","How Clever is this story?","0","19","6.67","8.73","3","A25"
"180","How Imaginative is this story?","1","16","6.33","6.85","3","A25"
"181","How Captivating is this story?","0","8","3","3.56","3","A25"
"182","How Humorous is this story?","1","13","5","5.66","3","A25"
"183","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","3","27","12.67","10.34","3","A25"
"184","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","2","3","2.5","0.5","2","A25"
"185","How Creative is this story?","18","18","18","0","1","A26"
"186","How Original is this story?","11","11","11","0","1","A26"
"187","How Clever is this story?","12","12","12","0","1","A26"
"188","How Imaginative is this story?","6","6","6","0","1","A26"
"189","How Captivating is this story?","7","7","7","0","1","A26"
"190","How Humorous is this story?","8","8","8","0","1","A26"
"191","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","7","7","7","0","1","A26"
"192","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","3","3","3","0","1","A26"
"193","How Creative is this story?","0","0","0","0","0","A27"
"194","How Original is this story?","0","0","0","0","0","A27"
"195","How Clever is this story?","0","0","0","0","0","A27"
"196","How Imaginative is this story?","0","0","0","0","0","A27"
"197","How Captivating is this story?","0","0","0","0","0","A27"
"198","How Humorous is this story?","0","0","0","0","0","A27"
"199","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","0","0","0","0","A27"
"200","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","0","0","0","0","A27"
"201","How Creative is this story?","2","74","45","31.02","3","A28"
"202","How Original is this story?","73","83","76.33","4.71","3","A28"
"203","How Clever is this story?","2","72","44","30.24","3","A28"
"204","How Imaginative is this story?","56","83","71.67","11.44","3","A28"
"205","How Captivating is this story?","2","84","49","34.54","3","A28"
"206","How Humorous is this story?","4","91","51.67","36","3","A28"
"207","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","3","77","50","33.36","3","A28"
"208","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","2","83","54","36.85","3","A28"
"209","How Creative is this story?","12","83","55.67","31.2","3","A29"
"210","How Original is this story?","12","83","40","30.87","3","A29"
"211","How Clever is this story?","12","58","37.33","19.07","3","A29"
"212","How Imaginative is this story?","12","100","58.67","36.12","3","A29"
"213","How Captivating is this story?","12","44","24","14.24","3","A29"
"214","How Humorous is this story?","11","52","25","19.1","3","A29"
"215","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","63","25.67","26.85","3","A29"
"216","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","56","24.33","23.21","3","A29"
"217","How Creative is this story?","2","2","2","0","1","A30"
"218","How Original is this story?","93","93","93","0","1","A30"
"219","How Clever is this story?","1","1","1","0","1","A30"
"220","How Imaginative is this story?","61","61","61","0","1","A30"
"221","How Captivating is this story?","1","1","1","0","1","A30"
"222","How Humorous is this story?","1","1","1","0","1","A30"
"223","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","39","39","39","0","1","A30"
"224","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","1","1","0","1","A30"
"225","How Creative is this story?","20","36","28","8","2","A31"
"226","How Original is this story?","7","20","13.5","6.5","2","A31"
"227","How Clever is this story?","19","29","24","5","2","A31"
"228","How Imaginative is this story?","20","39","29.5","9.5","2","A31"
"229","How Captivating is this story?","1","20","10.5","9.5","2","A31"
"230","How Humorous is this story?","1","19","10","9","2","A31"
"231","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","28","14","14","2","A31"
"232","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","25","12.5","12.5","2","A31"
"233","How Creative is this story?","15","40","27","10.23","3","A32"
"234","How Original is this story?","15","50","31","14.45","3","A32"
"235","How Clever is this story?","6","48","21","19.13","3","A32"
"236","How Imaginative is this story?","1","26","17","11.34","3","A32"
"237","How Captivating is this story?","26","48","35","9.42","3","A32"
"238","How Humorous is this story?","7","11","9.33","1.7","3","A32"
"239","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","14","60","32.67","19.75","3","A32"
"240","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","15","59","30.67","20.07","3","A32"
"241","How Creative is this story?","50","57","53.5","3.5","2","A33"
"242","How Original is this story?","55","61","58","3","2","A33"
"243","How Clever is this story?","50","61","55.5","5.5","2","A33"
"244","How Imaginative is this story?","60","62","61","1","2","A33"
"245","How Captivating is this story?","41","54","47.5","6.5","2","A33"
"246","How Humorous is this story?","28","41","34.5","6.5","2","A33"
"247","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","49","56","52.5","3.5","2","A33"
"248","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","59","61","60","1","2","A33"
"249","How Creative is this story?","0","7","3.5","3.5","2","A34"
"250","How Original is this story?","4","52","28","24","2","A34"
"251","How Clever is this story?","0","2","1","1","2","A34"
"252","How Imaginative is this story?","0","0","0","0","2","A34"
"253","How Captivating is this story?","0","2","1","1","2","A34"
"254","How Humorous is this story?","0","30","15","15","2","A34"
"255","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","17","17","17","0","2","A34"
"256","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","2","10","6","4","2","A34"
"257","How Creative is this story?","3","52","24.33","20.5","3","A35"
"258","How Original is this story?","3","71","38.33","27.82","3","A35"
"259","How Clever is this story?","21","38","27.67","7.41","3","A35"
"260","How Imaginative is this story?","3","61","38","25.15","3","A35"
"261","How Captivating is this story?","3","50","23.67","19.6","3","A35"
"262","How Humorous is this story?","0","68","28","29.03","3","A35"
"263","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","36","23.67","16.05","3","A35"
"264","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","30","17","12.03","3","A35"
"265","How Creative is this story?","9","17","13","4","2","A36"
"266","How Original is this story?","1","59","30","29","2","A36"
"267","How Clever is this story?","17","20","18.5","1.5","2","A36"
"268","How Imaginative is this story?","23","31","27","4","2","A36"
"269","How Captivating is this story?","18","30","24","6","2","A36"
"270","How Humorous is this story?","1","11","6","5","2","A36"
"271","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","14","19","16.5","2.5","2","A36"
"272","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","17","9","8","2","A36"
"273","How Creative is this story?","1","53","31.67","22.23","3","A37"
"274","How Original is this story?","1","76","44.67","31.84","3","A37"
"275","How Clever is this story?","1","74","40.33","30.07","3","A37"
"276","How Imaginative is this story?","1","65","37","26.73","3","A37"
"277","How Captivating is this story?","1","71","40.33","29.23","3","A37"
"278","How Humorous is this story?","1","61","24","26.42","3","A37"
"279","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","51","33.33","22.9","3","A37"
"280","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","50","28.33","20.4","3","A37"
"281","How Creative is this story?","6","42","18.33","16.74","3","A38"
"282","How Original is this story?","7","56","24","22.64","3","A38"
"283","How Clever is this story?","3","9","6","2.45","3","A38"
"284","How Imaginative is this story?","5","15","10","4.08","3","A38"
"285","How Captivating is this story?","5","30","14.33","11.15","3","A38"
"286","How Humorous is this story?","0","30","12","12.96","3","A38"
"287","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","51","33.67","23.81","3","A38"
"288","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","51","33.67","23.81","3","A38"
"289","How Creative is this story?","0","72","38.67","29.63","3","A39"
"290","How Original is this story?","44","63","53.5","9.5","2","A39"
"291","How Clever is this story?","0","57","33.67","24.39","3","A39"
"292","How Imaginative is this story?","0","65","40.33","28.76","3","A39"
"293","How Captivating is this story?","0","52","34.33","24.28","3","A39"
"294","How Humorous is this story?","0","24","8.33","11.09","3","A39"
"295","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","31","45","36","6.38","3","A39"
"296","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","8","63","35.33","22.45","3","A39"
"297","How Creative is this story?","0","3","1.5","1.5","2","A41"
"298","How Original is this story?","0","63","31.5","31.5","2","A41"
"299","How Clever is this story?","0","2","1","1","2","A41"
"300","How Imaginative is this story?","0","3","1.5","1.5","2","A41"
"301","How Captivating is this story?","0","2","1","1","2","A41"
"302","How Humorous is this story?","1","2","1.5","0.5","2","A41"
"303","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","2","23","12.5","10.5","2","A41"
"304","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","3","24","13.5","10.5","2","A41"
"305","How Creative is this story?","6","41","25","14.45","3","A43"
"306","How Original is this story?","14","71","37.67","24.25","3","A43"
"307","How Clever is this story?","0","50","27.67","20.76","3","A43"
"308","How Imaginative is this story?","13","43","31.67","13.3","3","A43"
"309","How Captivating is this story?","0","36","18.33","14.7","3","A43"
"310","How Humorous is this story?","0","8","3","3.56","3","A43"
"311","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","20","49","36.33","12.12","3","A43"
"312","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","31","49","39.67","7.36","3","A43"
"313","How Creative is this story?","1","85","43","42","2","A44"
"314","How Original is this story?","1","27","14","13","2","A44"
"315","How Clever is this story?","1","26","13.5","12.5","2","A44"
"316","How Imaginative is this story?","1","100","50.5","49.5","2","A44"
"317","How Captivating is this story?","1","56","28.5","27.5","2","A44"
"318","How Humorous is this story?","1","45","23","22","2","A44"
"319","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","29","73","51","22","2","A44"
"320","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","18","70","44","26","2","A44"
"321","How Creative is this story?","2","25","13.5","11.5","2","A45"
"322","How Original is this story?","14","20","17","3","2","A45"
"323","How Clever is this story?","3","25","14","11","2","A45"
"324","How Imaginative is this story?","9","31","20","11","2","A45"
"325","How Captivating is this story?","3","31","17","14","2","A45"
"326","How Humorous is this story?","3","35","19","16","2","A45"
"327","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","23","12","11","2","A45"
"328","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","20","10.5","9.5","2","A45"
"329","How Creative is this story?","51","100","70.33","21.3","3","A46"
"330","How Original is this story?","61","100","74.33","18.15","3","A46"
"331","How Clever is this story?","29","100","63","29.06","3","A46"
"332","How Imaginative is this story?","59","99","73.67","17.99","3","A46"
"333","How Captivating is this story?","14","64","46","22.69","3","A46"
"334","How Humorous is this story?","0","35","21","15.12","3","A46"
"335","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","5","100","57","39.3","3","A46"
"336","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","4","100","55","39.42","3","A46"
"337","How Creative is this story?","3","4","3.67","0.47","3","A47"
"338","How Original is this story?","3","21","9.33","8.26","3","A47"
"339","How Clever is this story?","4","5","4.67","0.47","3","A47"
"340","How Imaginative is this story?","2","9","4.67","3.09","3","A47"
"341","How Captivating is this story?","2","5","3","1.41","3","A47"
"342","How Humorous is this story?","2","10","5.33","3.4","3","A47"
"343","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","4","51","20.67","21.48","3","A47"
"344","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","2","50","19.67","21.55","3","A47"
"345","How Creative is this story?","37","69","49.33","14.06","3","A48"
"346","How Original is this story?","15","57","41.33","18.73","3","A48"
"347","How Clever is this story?","13","64","35","21.4","3","A48"
"348","How Imaginative is this story?","41","72","53","13.59","3","A48"
"349","How Captivating is this story?","1","59","36.67","25.49","3","A48"
"350","How Humorous is this story?","1","41","25.67","17.61","3","A48"
"351","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","43","26","18.67","3","A48"
"352","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","54","31.33","22.88","3","A48"
"353","How Creative is this story?","25","100","53.33","33.25","3","A49"
"354","How Original is this story?","34","100","57.33","30.21","3","A49"
"355","How Clever is this story?","19","37","28.33","7.36","3","A49"
"356","How Imaginative is this story?","36","70","50","14.51","3","A49"
"357","How Captivating is this story?","13","26","20","5.35","3","A49"
"358","How Humorous is this story?","20","64","38.33","18.7","3","A49"
"359","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","49","65","54.67","7.32","3","A49"
"360","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","37","50","45.33","5.91","3","A49"
"361","How Creative is this story?","39","70","52.33","13.02","3","A50"
"362","How Original is this story?","39","56","45","7.79","3","A50"
"363","How Clever is this story?","39","61","46.33","10.37","3","A50"
"364","How Imaginative is this story?","39","75","52.67","15.92","3","A50"
"365","How Captivating is this story?","3","59","30","22.91","3","A50"
"366","How Humorous is this story?","1","42","24","17.11","3","A50"
"367","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","29","19.33","13.67","3","A50"
"368","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","29","16.33","12.12","3","A50"
"369","How Creative is this story?","20","20","20","0","1","A51"
"370","How Original is this story?","1","1","1","0","1","A51"
"371","How Clever is this story?","1","1","1","0","1","A51"
"372","How Imaginative is this story?","20","20","20","0","1","A51"
"373","How Captivating is this story?","9","9","9","0","1","A51"
"374","How Humorous is this story?","1","1","1","0","1","A51"
"375","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","15","15","15","0","1","A51"
"376","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","8","8","8","0","1","A51"
"377","How Creative is this story?","24","42","33","9","2","A52"
"378","How Original is this story?","65","77","71","6","2","A52"
"379","How Clever is this story?","20","43","31.5","11.5","2","A52"
"380","How Imaginative is this story?","63","69","66","3","2","A52"
"381","How Captivating is this story?","30","39","34.5","4.5","2","A52"
"382","How Humorous is this story?","28","49","38.5","10.5","2","A52"
"383","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","7","58","32.5","25.5","2","A52"
"384","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","8","38","23","15","2","A52"
"385","How Creative is this story?","6","69","32.67","26.61","3","A53"
"386","How Original is this story?","5","70","35","26.77","3","A53"
"387","How Clever is this story?","7","75","33.67","29.63","3","A53"
"388","How Imaginative is this story?","8","74","32","29.8","3","A53"
"389","How Captivating is this story?","5","67","27","28.33","3","A53"
"390","How Humorous is this story?","0","30","13","12.57","3","A53"
"391","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","29","18.67","13.22","3","A53"
"392","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","27","13.67","11.03","3","A53"
"393","How Creative is this story?","9","40","27","13.14","3","A54"
"394","How Original is this story?","0","44","22","17.96","3","A54"
"395","How Clever is this story?","0","43","15","19.82","3","A54"
"396","How Imaginative is this story?","8","43","27","14.45","3","A54"
"397","How Captivating is this story?","9","17","12","3.56","3","A54"
"398","How Humorous is this story?","0","10","4.33","4.19","3","A54"
"399","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","19","50","31.33","13.42","3","A54"
"400","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","9","50","27.67","16.94","3","A54"
"401","How Creative is this story?","15","79","47.67","26.14","3","A55"
"402","How Original is this story?","14","71","46.67","24","3","A55"
